f	U_E	dU_E	U_A 	dU_A	V_U	dV_U
10	0.531	0.005	2.9	0.029	5.46	0.08
20	0.536	0.005	4.97	0.3	9.27	0.57
30	0.535	0.005	6.48	0.1	12.11	0.22
40	0.535	0.005	7.35	0.2	13.74	0.4
50	0.544	0.006	8.21	0.05	15.09	0.19
60	0.544	0.005	8.59	0.06	15.79	0.18
70	0.544	0.006	8.87	0.06	16.31	0.21
80	0.543	0.006	9.05	0.04	16.67	0.2
90	0.544	0.006	9.2	0.04	16.91	0.2
100	0.544	0.006	9.29	0.06	17.08	0.22
110	0.544	0.006	9.4	0.06	17.28	0.22
120	0.544	0.006	9.44	0.06	17.35	0.22
130	0.544	0.006	9.49	0.07	17.44	0.23
140	0.545	0.006	9.51	0.05	17.45	0.21
150	0.544	0.006	9.57	0.07	17.59	0.23
160	0.544	0.006	9.6	0.06	17.65	0.22
180	0.544	0.005	9.63	0.06	17.7	0.2
200	0.543	0.006	9.68	0.04	17.83	0.21
300	0.545	0.005	9.72	0.04	17.83	0.18
400	0.543	0.006	9.76	0.06	17.97	0.23
500	0.542	0.005	9.77	0.05	18.03	0.19
600	0.545	0.006	9.79	0.05	17.96	0.22
700	0.544	0.006	9.78	0.05	17.98	0.22
800	0.544	0.006	9.78	0.05	17.98	0.22
900	0.544	0.006	9.8	0.05	18.01	0.22
1000	0.545	0.006	9.8	0.05	17.98	0.22
2000	0.54	0.003	9.8	0.1	18.15	0.21
5000	0.539	0.003	9.8	0.16	18.18	0.31
10000	0.541	0.003	9.8	0.11	18.11	0.23
100000	0.532	0.003	9.62	0.17	18.08	0.34
120000	0.53	0.003	9.4	0.18	17.74	0.35
150000	0.53	0.003	8.91	0.16	16.81	0.32
200000	0.528	0.003	8.18	0.24	15.49	0.46
220000	0.53	0.003	7.97	0.21	15.04	0.41
250000	0.528	0.003	7.4	0.16	14.02	0.31
300000	0.526	0.002	6.97	0.21	13.25	0.4
400000	0.526	0.003	5.84	0.26	11.1	0.5
600000	0.525	0.003	4.51	0.19	8.59	0.37
800000	0.524	0.003	3.72	0.18	7.1	0.35
1000000	0.523	0.009	3.37	0.42	6.44	0.81
1500000	0.515	0.003	2.6	0.16	5.05	0.31
