f	U_E	dU_E	U_A 	dU_A	V_U	dV_U
10	0.545	0.006	0.175	0.015	0.32	0.03
20	0.545	0.006	0.27	0.006	0.5	0.01
30	0.545	0.005	0.349	0.011	0.64	0.02
40	0.543	0.005	0.4	0.014	0.74	0.03
50	0.544	0.006	0.433	0.007	0.8	0.02
60	0.544	0.006	0.458	0.006	0.84	0.01
70	0.543	0.005	0.475	0.006	0.87	0.01
80	0.546	0.006	0.488	0.006	0.89	0.01
90	0.543	0.006	0.495	0.006	0.91	0.01
100	0.544	0.006	0.506	0.005	0.93	0.01
150	0.543	0.005	0.525	0.006	0.97	0.01
200	0.543	0.005	0.532	0.006	0.98	0.01
350	0.544	0.006	0.538	0.004	0.99	0.01
500	0.543	0.005	0.538	0.005	0.99	0.01
500	0.543	0.005	0.538	0.005	0.99	0.01
1000	0.544	0.005	0.538	0.004	0.99	0.01
2000	0.543	0.006	0.541	0.005	1.0	0.01
10000	0.545	0.005	0.54	0.005	0.99	0.01
100000	0.544	0.006	0.544	0.005	1.0	0.01
1000000	0.54	0.007	0.54	0.005	1.0	0.02
