f	U_E	dU_E	U_A 	dU_A
10	0.545	0.006	0.175	0.015
20	0.545	0.006	0.270	0.006
30	0.545	0.005	0.349	0.011
40	0.543	0.005	0.400	0.014
50	0.544	0.006	0.433	0.007
60	0.544	0.006	0.458	0.006
70	0.543	0.005	0.475	0.006
80	0.546	0.006	0.488	0.006
90	0.543	0.006	0.495	0.006
100	0.544	0.006	0.506	0.005
150	0.543	0.005	0.525	0.006
200	0.543	0.005	0.532	0.006
350	0.544	0.006	0.538	0.004
500	0.543	0.005	0.538	0.005
500	0.543	0.005	0.538	0.005
1000	0.544	0.005	0.538	0.004
2000	0.543	0.006	0.541	0.005
10000	0.545	0.005	0.540	0.005
100000	0.544	0.006	0.544	0.005
1000000	0.540	0.007	0.540	0.005	
