f	U_E	dU_E	U_A 	dU_A
10	0.531	0.005	2.900	0.029
20	0.536	0.005	4.97	0.3
30.	0.535	0.005	6.48	0.1
40.	0.535	0.005	7.35	0.2
50.	0.544	0.006	8.21	0.05
60.	0.544	0.005	8.59	0.06
70.	0.544	0.006	8.87	0.06
80.	0.543	0.006	9.05	0.04
90.	0.544	0.006	9.20	0.04
100.	0.544	0.006	9.29	0.06
110.	0.544	0.006	9.40	0.06
120.	0.544	0.006	9.44	0.06
130	0.544	0.006	9.49	0.07
140	0.545	0.006	9.51	0.05
150	0.544	0.006	9.57	0.07
160	0.544	0.006	9.60	0.06
180	0.544	0.005	9.63	0.06
200	0.543	0.006	9.68	0.04	
300	0.545	0.005	9.72	0.04
400	0.543	0.006	9.76	0.06
500	0.542	0.005	9.77	0.05
600	0.545	0.006	9.79	0.05
700	0.544	0.006	9.78	0.05
800	0.544	0.006	9.78	0.05
900	0.544	0.006	9.80	0.05
1000	0.545	0.006	9.80	0.05
2000	0.540	0.003	9.80	0.10
5000	0.539	0.003	9.80	0.16
10000	0.541	0.003	9.80	0.11
100000	0.532	0.003	9.62	0.17
120000	0.530	0.003	9.40	0.18
150000	0.530	0.003	8.91	0.16
200000	0.528	0.003	8.18	0.24
220000	0.530	0.003	7.97	0.21
250000	0.528	0.003	7.40	0.16
300000	0.526	0.002	6.97	0.21
400000	0.526	0.003	5.84	0.26
600000	0.525	0.003	4.51	0.19
800000	0.524	0.003	3.72	0.18
1000000	0.523	0.009	3.37	0.42
1500000	0.515	0.003	2.60	0.16
