Pixels	
pxl	arb
1	10,2999877929688
2	13,0999755859375
3	0,79998779296875
4	5
5	-3,80001831054688
6	-5,9000244140625
7	4,5
8	2
9	-6,9000244140625
10	1
11	1,19998168945313
12	-3,10000610351563
13	2,69998168945313
14	-1
15	-0,300018310546875
16	5,19998168945313
17	8,19998168945313
18	-7
19	4,69998168945313
20	5,69998168945313
21	4
22	4,19998168945313
23	6,5
24	1,89999389648438
25	1,69998168945313
26	3
27	6,79998779296875
28	9,69998168945313
29	5,39999389648438
30	7,0999755859375
31	3,29998779296875
32	5,79998779296875
33	8,5999755859375
34	6,19998168945313
35	13,1999816894531
36	10
37	12,2999877929688
38	10,7999877929688
39	23,1999816894531
40	33,6999816894531
41	38,0999755859375
42	117,599975585938
43	482,099975585938
44	1946,5
45	5652,89990234375
46	9601,599609375
47	13069,400390625
48	10393,099609375
49	4890,7001953125
50	2427,30004882813
51	1363,19995117188
52	663,299987792969
53	283,699981689453
54	131,599975585938
55	77,1999816894531
56	45,7999877929688
57	41
58	26,8999938964844
59	25
60	18,6999816894531
61	18,1999816894531
62	9,0999755859375
63	11
64	9,69998168945313
65	2,89999389648438
66	9,69998168945313
67	1,0999755859375
68	10,2999877929688
69	7,29998779296875
70	3,89999389648438
71	11,1999816894531
72	7,19998168945313
73	-1,80001831054688
74	6,19998168945313
75	0,699981689453125
76	-2,60000610351563
77	-0,800018310546875
78	0
79	10,0999755859375
80	0,5
81	5,89999389648438
82	3,5
83	-0,5
84	2,89999389648438
85	5,29998779296875
86	-3,4000244140625
87	2,19998168945313
88	7,5999755859375
89	2,39999389648438
90	1,89999389648438
91	3,69998168945313
92	4,5999755859375
93	-1,9000244140625
94	6,5999755859375
95	2,89999389648438
96	7,39999389648438
97	7,89999389648438
98	12,8999938964844
99	-0,5
100	1,39999389648438
101	4
102	6,19998168945313
103	-3,80001831054688
104	2,5
105	-0,100006103515625
106	-0,70001220703125
107	10,7999877929688
108	4,5
109	9,0999755859375
110	-6,30001831054688
111	3,79998779296875
112	3,5
113	2,89999389648438
114	1,29998779296875
115	2,69998168945313
116	0,29998779296875
117	-5,30001831054688
118	2,39999389648438
119	-0,9000244140625
120	-0,300018310546875
121	7,89999389648438
122	-1
123	-1,9000244140625
124	10,0999755859375
125	6,79998779296875
126	2,39999389648438
127	-1
128	-1
129	-11,8000183105469
130	3,69998168945313
131	-1,5
132	-11,4000244140625
133	6,19998168945313
134	-2,30001831054688
135	2,79998779296875
136	6,79998779296875
137	-3,30001831054688
138	2,29998779296875
139	14,5999755859375
140	-3,20001220703125
141	1,79998779296875
142	0
143	6,19998168945313
144	3,29998779296875
145	-5,5
146	-3,60000610351563
147	5,5999755859375
148	-0,300018310546875
149	1,5
150	6,39999389648438
151	-1,10000610351563
152	1,19998168945313
153	1,5
154	-6,5
155	10,0999755859375
156	-14,7000122070313
157	0,899993896484375
158	3,5
159	-3,5
160	-1,5
161	3,5
162	-0,600006103515625
163	5,5999755859375
164	8,89999389648438
165	-1,4000244140625
166	-0,800018310546875
167	-5,10000610351563
168	6,19998168945313
169	-9,20001220703125
170	-1,30001831054688
171	-7,10000610351563
172	3,5
173	7,0999755859375
174	9
175	1,69998168945313
176	5,29998779296875
177	4,69998168945313
178	4,0999755859375
179	4,19998168945313
180	-6,80001831054688
181	4,79998779296875
182	2
183	12,0999755859375
184	16
185	4,89999389648438
186	-0,100006103515625
187	8,5999755859375
188	-3,10000610351563
189	-6,4000244140625
190	6,29998779296875
191	0,899993896484375
192	-5,10000610351563
193	2
194	-5,4000244140625
195	2,19998168945313
196	9,29998779296875
197	1,5999755859375
198	2
199	-4,4000244140625
200	9,89999389648438
201	-0,300018310546875
202	-1,4000244140625
203	1,5999755859375
204	0,0999755859375
205	-7,80001831054688
206	1,69998168945313
207	0,79998779296875
208	-0,5
209	-3,5
210	2,79998779296875
211	5,89999389648438
212	-2,80001831054688
213	5,19998168945313
214	-5,10000610351563
215	-1,5
216	2,19998168945313
217	8,29998779296875
218	-5,5
219	0,199981689453125
220	-0,5
221	-0,600006103515625
222	-8,20001220703125
223	-5,30001831054688
224	1,19998168945313
225	1
226	-0,300018310546875
227	-0,100006103515625
228	4,69998168945313
229	4,39999389648438
230	7,19998168945313
231	2,0999755859375
232	-1,5
233	-9,20001220703125
234	3,69998168945313
235	6
236	0
237	-4,5
238	7,29998779296875
239	-6,60000610351563
240	2,29998779296875
241	3,89999389648438
242	-1,30001831054688
243	0,29998779296875
244	2,89999389648438
245	1,69998168945313
246	3,69998168945313
247	10,2999877929688
248	6,0999755859375
249	7,69998168945313
250	4,5
251	-3,80001831054688
252	3,39999389648438
253	4,39999389648438
254	6,39999389648438
255	11,5
256	0,199981689453125
257	-1,5
258	4,69998168945313
259	8,19998168945313
260	0,699981689453125
261	6,0999755859375
262	4,39999389648438
263	12
264	10,5999755859375
265	14,7999877929688
266	10,5999755859375
267	1,0999755859375
268	2,29998779296875
269	6,89999389648438
270	-2,4000244140625
271	9
272	1,19998168945313
273	9,5
274	9,19998168945313
275	6,69998168945313
276	13
277	10,1999816894531
278	8,0999755859375
279	7,79998779296875
280	6,5999755859375
281	1,29998779296875
282	4,69998168945313
283	-3,20001220703125
284	17,8999938964844
285	14,6999816894531
286	8,79998779296875
287	3,5999755859375
288	9,5999755859375
289	14,1999816894531
290	3,89999389648438
291	16
292	17,1999816894531
293	19,5999755859375
294	13,5
295	29,1999816894531
296	18,5999755859375
297	22
298	24,6999816894531
299	35,5
300	29,6999816894531
301	48,2999877929688
302	47,6999816894531
303	82,5
304	128,599975585938
305	361
306	1210
307	4490,7998046875
308	13643,7001953125
309	26625,30078125
310	35692
311	24572,19921875
