I[A] B[T]
0	0.001	0.002	0.001
1	0.065	0.057	0.062
2	0.115	0.123	0.116
3	0.168	0.162	0.167
4	0.222	0.231	0.221
5	0.278	0.288	0.279
6	0.332	0.338	0.331
7	0.403	0.394	0.401
8	0.464	0.446	0.467
9	0.506	0.511	0.510
10	0.553	0.556	0.553
11	0.595	0.595	0.594
12	0.625	0.626	0.625
13	0.657	0.655	0.657
12	0.633	0.630	0.632
11	0.602	0.599	0.601
10	0.561	0.568	0.563
9	0.511	0.515	0.513
8	0.469	0.468	0.463
7	0.391	0.404	0.390
6	0.353	0.356	0.353
5	0.298	0.299	0.298
4	0.248	0.243	0.244
3	0.192	0.180	0.191
2	0.125	0.119	0.127
1	0.061	0.064	0.071
0	0.002	0.003	0.002
